track_id,track_name,popularity,duration_ms,explicit,preview_url,status,submitted_by,reviewed_by
1ofagnzl7oj7z1MtwGesHX,Maria,0,217573,0,https://p.scdn.co/mp3-preview/93852f6f67ebcd2e90d5b978e2cc292751776a99?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
3iA4foXIFpekwHyma7pRs1,Overkill,62,229466,0,https://p.scdn.co/mp3-preview/b9844114dd6b25047e659f75649a12ac10790281?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
6XrWIKoIwqomse4ZmBnjQd,Life Goes On,44,210455,0,https://p.scdn.co/mp3-preview/88c6f0caea375b26e8b0c6ec40503ab6de806d11?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
27L8sESb3KR79asDUBu8nW,Stacy's Mom,72,197986,0,https://p.scdn.co/mp3-preview/7413b51c07234686ff22b18a5627492a0d7b017a?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
0ZUjPkZKjzRi6bgIuJovfY,How Can We Be Lovers,52,235626,0,https://p.scdn.co/mp3-preview/e09a7628f701828fe551bc4811dff5186e028822?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
46LTPfvrxlgNLyIGBup4O2,Teenage Crime,42,168920,0,https://p.scdn.co/mp3-preview/f30603a52180e33a597bafba6177742a7e2a3a1e?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
2a1o6ZejUi8U3wzzOtCOYw,Danza Kuduro,80,198773,0,https://p.scdn.co/mp3-preview/233463331fb88a8868992fa066f06d26d389c9ac?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
1iola53QSlUVnceCbxr15K,Buy Me A Pony,0,105200,0,https://p.scdn.co/mp3-preview/efdcc482d41760e89c56f266fbaf2dba5470a700?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
3PfERRzizJqTx0fuRmBgtH,You're so Vain,34,249160,0,https://p.scdn.co/mp3-preview/ad3f93e7c933fe96b255466d5543f70043471a83?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
0C3nGIOCvSsRwc0zpAJ9Db,Got to Get It,0,321426,0,https://p.scdn.co/mp3-preview/d8a8883051f52e3d922f4a0bee187e9b5408b2e4?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
0QdePZJfBpRIBautuT4FSx,Angels Like You,54,196453,0,https://p.scdn.co/mp3-preview/4db8314199c0d49e95c786792ecd06eadae9f510?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
2EnaF6Nll7GTSAyaXvd2qW,Circles on the Water,9,219865,0,https://p.scdn.co/mp3-preview/8800174efeceacaed5dac403a2d31b2d62edee00?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
3xgKCfRwbqie54nHtSLnhM,Playboy,0,164840,0,https://p.scdn.co/mp3-preview/c782a625147734cb3ff0ca4fec1fca6644c0e224?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
